iter	Passed	Remaining
401	16485	24522
402	16523	24478
403	16559	24429
404	16597	24383
405	16633	24335
406	16668	24286
407	16705	24238
408	16741	24191
409	16777	24143
410	16813	24095
411	16850	24048
412	16886	24000
413	16924	23955
414	16960	23908
415	16996	23860
416	17034	23815
417	17070	23768
418	17106	23720
419	17142	23673
420	17179	23626
421	17215	23579
422	17251	23532
423	17288	23486
424	17324	23438
425	17360	23391
426	17396	23344
427	17432	23297
428	17468	23250
429	17506	23206
430	17545	23163
431	17582	23117
432	17618	23070
433	17655	23024
434	17691	22979
435	17730	22935
436	17766	22889
437	17804	22845
438	17840	22799
439	17877	22753
440	17917	22711
441	17954	22666
442	17994	22625
443	18032	22581
444	18069	22536
445	18108	22493
446	18144	22447
447	18180	22400
448	18217	22355
449	18253	22310
450	18290	22264
451	18332	22226
452	18369	22181
453	18406	22137
454	18443	22091
455	18479	22046
456	18516	22001
457	18553	21956
458	18589	21910
459	18625	21865
460	18662	21820
461	18702	21779
462	18739	21734
463	18776	21690
464	18812	21644
465	18848	21599
466	18884	21553
467	18921	21509
468	18958	21464
469	18994	21419
470	19030	21373
471	19066	21328
472	19102	21283
473	19139	21239
474	19176	21195
475	19214	21151
476	19252	21109
477	19289	21065
478	19329	21024
479	19372	20987
480	19410	20943
481	19449	20902
482	19488	20860
483	19525	20816
484	19561	20771
485	19598	20728
486	19635	20683
487	19672	20639
488	19709	20596
489	19746	20552
490	19782	20507
491	19818	20463
492	19866	20431
493	19912	20395
494	19955	20358
495	19996	20318
496	20041	20283
497	20089	20251
498	20137	20217
499	20181	20181
500	20222	20141
501	20265	20103
502	20310	20068
503	20351	20028
504	20396	19992
505	20441	19956
506	20489	19923
507	20533	19886
508	20572	19845
509	20613	19804
510	20653	19763
511	20692	19722
512	20734	19683
513	20780	19648
514	20825	19612
515	20875	19580
516	20920	19545
517	20963	19506
518	21003	19465
519	21042	19424
520	21085	19385
521	21130	19349
522	21175	19312
523	21220	19276
524	21267	19242
525	21312	19205
526	21358	19170
527	21408	19137
528	21454	19101
529	21501	19067
530	21540	19025
531	21577	18981
532	21616	18939
533	21656	18898
534	21699	18860
535	21744	18823
536	21788	18785
537	21829	18745
538	21866	18701
539	21903	18658
540	21942	18616
541	21988	18580
542	22035	18545
543	22190	18601
